rank,company,fortune_ticker,sec_ticker,cik,cik_padded,sec_name,edgar_submissions_api,edgar_companyfacts_api,edgar_companyconcept_revenues_api,edgar_filings_browse,status,match_source
1,Amazon,AMZN,AMZN,1018724,0001018724,AMAZON COM INC,https://data.sec.gov/submissions/CIK0001018724.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001018724/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001018724&type=&dateb=&owner=include&count=40,matched,company_tickers_json
2,Walmart,WMT,WMT,104169,0000104169,Walmart Inc.,https://data.sec.gov/submissions/CIK0000104169.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000104169.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000104169/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000104169&type=&dateb=&owner=include&count=40,matched,company_tickers_json
3,UnitedHealth,UNH,UNH,731766,0000731766,UNITEDHEALTH GROUP INC,https://data.sec.gov/submissions/CIK0000731766.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000731766.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000731766/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000731766&type=&dateb=&owner=include&count=40,matched,company_tickers_json
4,Apple,AAPL,AAPL,320193,0000320193,Apple Inc.,https://data.sec.gov/submissions/CIK0000320193.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000320193/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000320193&type=&dateb=&owner=include&count=40,matched,company_tickers_json
5,McKesson,MCK,MCK,927653,0000927653,MCKESSON CORP,https://data.sec.gov/submissions/CIK0000927653.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000927653.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000927653/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000927653&type=&dateb=&owner=include&count=40,matched,company_tickers_json
6,Alphabet,GOOGL,GOOGL,1652044,0001652044,Alphabet Inc.,https://data.sec.gov/submissions/CIK0001652044.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001652044/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001652044&type=&dateb=&owner=include&count=40,matched,company_tickers_json
7,CVS Health,CVS,CVS,64803,0000064803,CVS HEALTH Corp,https://data.sec.gov/submissions/CIK0000064803.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000064803.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000064803/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000064803&type=&dateb=&owner=include&count=40,matched,company_tickers_json
8,Berkshire Hathaway,BRK-A,BRK-B,1067983,0001067983,BERKSHIRE HATHAWAY INC,https://data.sec.gov/submissions/CIK0001067983.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001067983.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001067983/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001067983&type=&dateb=&owner=include&count=40,matched,company_tickers_json
9,Exxon Mobil,XOM,XOM,34088,0000034088,EXXON MOBIL CORPORATION,https://data.sec.gov/submissions/CIK0000034088.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0000034088.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0000034088/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000034088&type=&dateb=&owner=include&count=40,matched,manual_cik_lookup
10,Cencora,COR,COR,1140859,0001140859,"Cencora, Inc.",https://data.sec.gov/submissions/CIK0001140859.json,https://data.sec.gov/api/xbrl/companyfacts/CIK0001140859.json,https://data.sec.gov/api/xbrl/companyconcept/CIK0001140859/us-gaap/Revenues.json,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001140859&type=&dateb=&owner=include&count=40,matched,company_tickers_json
